Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Macroscale geometry,,,
Negative current collector thickness [m],1.40E-05,,
Negative electrode thickness [m],7.37E-05,,
Separator thickness [m],1.90E-05,,
Positive electrode thickness [m],5.45E-05,,
Positive current collector thickness [m],2.5E-05,,
Electrode height [m],1.01E-01,,
Electrode width [m],8.50E-02,,
Negative tab width [m],N/A,,
Negative tab centre y-coordinate [m],N/A,,
Negative tab centre z-coordinate [m],N/A,,
Positive tab width [m],N/A,,
Positive tab centre y-coordinate [m],N/A,,
Positive tab centre z-coordinate [m],N/A,,
,,,
# Current collector properties ,,,
Negative current collector conductivity [S.m-1],N/A,,
Positive current collector conductivity [S.m-1],N/A,,
,,,
# Density,,,
Negative current collector density [kg.m-3],N/A,,
Positive current collector density [kg.m-3],N/A,,
,,,
# Specific heat capacity,,,
Negative current collector specific heat capacity [J.kg-1.K-1],N/A,,
Positive current collector specific heat capacity [J.kg-1.K-1],N/A,,
,,,
# Thermal conductivity,,,
Negative current collector thermal conductivity [W.m-1.K-1],N/A,,
Positive current collector thermal conductivity [W.m-1.K-1],N/A,,
,,,
# Electrical,,,
Cell capacity [A.h],N/A,,
